scenario_id,kl_divergence,residuals,model_probs
S1_030,1.954135,"{""Drev_no_action"": 0.0, ""Drev_commission_review"": 3.3514, ""Drev_sack_ceo"": -0.4737}","{""Drev_no_action"": 0.0, ""Drev_commission_review"": 0.0, ""Drev_sack_ceo"": 5.5592}"
S1_031,1.008951,"{""D0_minimal"": 0.0, ""D1_review"": -0.7, ""D3_ceo_transition"": 1.6012}","{""D0_minimal"": -6.1601, ""D1_review"": 5.5496, ""D3_ceo_transition"": -0.0161}"
S1_032,1.126579,"{""D0_minimal"": 0.0, ""D1_review"": -0.84, ""D3_ceo_transition"": 1.7612}","{""D0_minimal"": -6.15, ""D1_review"": 5.5597, ""D3_ceo_transition"": -0.006}"
S1_033,1.776462,"{""Drev_no_action"": 0.0, ""Drev_commission_review"": 3.0769, ""Drev_sack_ceo"": 0.0}","{""Drev_no_action"": 0.0, ""Drev_commission_review"": 0.0, ""Drev_sack_ceo"": 5.5693}"
S1_034,2.868135,"{""Drev_no_action"": 0.0, ""Drev_commission_review"": 2.9459, ""Drev_sack_ceo"": 4.0}","{""Drev_no_action"": 5.5693, ""Drev_commission_review"": 5.5693, ""Drev_sack_ceo"": 5.5693}"
S1_035,1.780163,"{""Drev_no_action"": 0.0, ""Drev_commission_review"": 3.0833, ""Drev_sack_ceo"": 0.0}","{""Drev_no_action"": 0.0, ""Drev_commission_review"": 0.0, ""Drev_sack_ceo"": 5.5693}"
S1_036,2.883791,"{""Drev_no_action"": 0.0, ""Drev_commission_review"": 3.0263, ""Drev_sack_ceo"": 3.9737}","{""Drev_no_action"": 5.5693, ""Drev_commission_review"": 5.5693, ""Drev_sack_ceo"": 5.5693}"
S1_037,0.476683,"{""Drev_no_action"": 0.0, ""Drev_commission_review"": -0.7, ""Drev_sack_ceo"": -0.4378}","{""Drev_no_action"": -12.2499, ""Drev_commission_review"": -0.2968, ""Drev_sack_ceo"": -0.3033}"
S1_039,0.453883,"{""Drev_no_action"": 0.0, ""Drev_commission_review"": -0.7, ""Drev_sack_ceo"": -0.3578}","{""Drev_no_action"": -12.2499, ""Drev_commission_review"": -0.2968, ""Drev_sack_ceo"": -0.3033}"
S1_041,0.500658,"{""D0_minimal"": 0.0, ""D1_review"": -0.8588, ""D3_ceo_transition"": -0.12}","{""D0_minimal"": -12.2499, ""D1_review"": -0.0096, ""D3_ceo_transition"": -0.006}"
S1_042,0.476243,"{""Drev_no_action"": 0.0, ""Drev_commission_review"": -0.8188, ""Drev_sack_ceo"": -0.1}","{""Drev_no_action"": -12.2499, ""Drev_commission_review"": -0.2968, ""Drev_sack_ceo"": -0.2932}"
S1_043,0.346055,"{""Drev_no_action"": 0.0, ""Drev_commission_review"": -0.5776, ""Drev_sack_ceo"": -0.16}","{""Drev_no_action"": -6.1059, ""Drev_commission_review"": -0.0096, ""Drev_sack_ceo"": -0.006}"
S1_045,0.416894,"{""Drev_no_action"": 0.0, ""Drev_commission_review"": -0.7176, ""Drev_sack_ceo"": -0.08}","{""Drev_no_action"": -6.1059, ""Drev_commission_review"": -0.0096, ""Drev_sack_ceo"": -0.006}"
S1_049,0.389341,"{""Drev_no_action"": 0.0, ""Drev_commission_review"": -0.56, ""Drev_sack_ceo"": -0.3757}","{""Drev_no_action"": -6.1059, ""Drev_commission_review"": -0.0096, ""Drev_sack_ceo"": -0.0161}"
S1_051,0.407064,"{""Drev_no_action"": 0.0, ""Drev_commission_review"": -0.62, ""Drev_sack_ceo"": -0.3357}","{""Drev_no_action"": -6.1059, ""Drev_commission_review"": -0.0096, ""Drev_sack_ceo"": -0.0161}"
S1_052,0.254558,"{""Drev_no_action"": 0.36, ""Drev_sack_ceo"": 0.0}","{""Drev_no_action"": -4.0679, ""Drev_sack_ceo"": 1.4913}"
S1_053,0.636396,"{""Drev_no_action"": 0.9, ""Drev_sack_ceo"": 0.0}","{""Drev_no_action"": -3.3586, ""Drev_sack_ceo"": 2.2006}"
S1_054,0.509902,"{""Drev_no_action"": 0.72, ""Drev_sack_ceo"": -0.04}","{""Drev_no_action"": 0.0, ""Drev_sack_ceo"": 5.5592}"
S1_055,0.084853,"{""Drev_no_action"": 0.12, ""Drev_sack_ceo"": 0.0}","{""Drev_no_action"": -4.0679, ""Drev_sack_ceo"": 1.5014}"
S1_056,0.169706,"{""Drev_no_action"": 0.24, ""Drev_sack_ceo"": 0.0}","{""Drev_no_action"": -3.3586, ""Drev_sack_ceo"": 2.2107}"
S1_057,0.098995,"{""Drev_no_action"": 0.14, ""Drev_sack_ceo"": 0.0}","{""Drev_no_action"": 0.0, ""Drev_sack_ceo"": 5.5693}"
S1_058,0.155563,"{""Drev_no_action"": 0.22, ""Drev_sack_ceo"": 0.0}","{""Drev_no_action"": -4.0679, ""Drev_sack_ceo"": 1.5014}"
S1_059,0.254558,"{""Drev_no_action"": 0.36, ""Drev_sack_ceo"": 0.0}","{""Drev_no_action"": -3.3586, ""Drev_sack_ceo"": 2.2107}"
S1_060,1.830493,"{""Drev_no_action"": 0.0698, ""Drev_sack_ceo"": -0.1395, ""Drev_commission_review"": 3.1667}","{""Drev_no_action"": 0.0, ""Drev_sack_ceo"": 5.5693, ""Drev_commission_review"": 0.0}"
S1_061,0.434723,"{""Drev_no_action"": 0.0, ""Drev_commission_review"": -0.6579, ""Drev_sack_ceo"": -0.3662}","{""Drev_no_action"": -12.2499, ""Drev_commission_review"": -0.2968, ""Drev_sack_ceo"": -0.3033}"
S1_063,0.001546,"{""Drev_no_action"": 0.0, ""Drev_sack_ceo"": 0.0022}","{""Drev_no_action"": -12.2499, ""Drev_commission_review"": -0.2968, ""Drev_sack_ceo"": -0.3033}"
S1_064,1.900596,"{""Drev_no_action"": 0.0, ""Drev_sack_ceo"": -0.28, ""Drev_commission_review"": 3.28}","{""Drev_no_action"": 0.0, ""Drev_sack_ceo"": 5.5592, ""Drev_commission_review"": 0.0}"
